world_index,id_fixation,x,y,zoom,etape
11,2,0.0,0.0,0,1
12,2,0.0,0.0,0,1
13,2,0.0,0.0,0,1
14,2,0.0,0.0,0,1
15,2,0.0,0.0,0,1
16,2,0.0,0.0,0,1
17,2,0.0,0.0,0,1
17,3,0.0,0.0,0,1
18,3,0.0,0.0,0,1
19,3,0.0,0.0,0,1
20,3,0.0,0.0,0,1
21,3,0.0,0.0,0,1
22,3,0.0,0.0,0,1
23,3,0.0,0.0,0,1
166,20,0.0,0.0,0,1
182,22,0.0,0.0,0,1
183,22,0.0,0.0,0,1
184,22,0.0,0.0,0,1
189,23,0.0,0.0,0,1
190,23,0.0,0.0,0,1
191,23,0.0,0.0,0,1
191,24,0.0,0.0,0,1
192,24,0.0,0.0,0,1
193,24,0.0,0.0,0,1
194,24,0.0,0.0,0,1
195,24,0.0,0.0,0,1
196,24,0.0,0.0,0,1
197,24,0.0,0.0,0,1
197,25,0.0,0.0,0,1
198,25,0.0,0.0,0,1
199,25,0.0,0.0,0,1
200,25,0.0,0.0,0,1
201,25,0.0,0.0,0,1
202,25,0.0,0.0,0,1
203,25,0.0,0.0,0,1
204,25,0.0,0.0,0,1
204,26,0.0,0.0,0,1
205,26,0.0,0.0,0,1
206,26,0.0,0.0,0,1
207,26,0.0,0.0,0,1
208,26,0.0,0.0,0,1
209,26,0.0,0.0,0,1
210,26,0.0,0.0,0,1
211,27,0.0,0.0,0,1
212,27,0.0,0.0,0,1
213,27,0.0,0.0,0,1
214,27,0.0,0.0,0,1
215,27,0.0,0.0,0,1
216,27,0.0,0.0,0,1
217,27,0.0,0.0,0,1
224,29,0.0,0.0,0,1
225,29,0.0,0.0,0,1
226,29,0.0,0.0,0,1
227,29,0.0,0.0,0,1
228,29,0.0,0.0,0,1
230,30,0.0,0.0,0,1
231,30,0.0,0.0,0,1
232,30,0.0,0.0,0,1
233,30,0.0,0.0,0,1
234,30,0.0,0.0,0,1
235,31,0.0,0.0,0,1
236,31,0.0,0.0,0,1
237,31,0.0,0.0,0,1
238,31,0.0,0.0,0,1
239,31,0.0,0.0,0,1
240,31,0.0,0.0,0,1
241,31,0.0,0.0,0,1
242,31,0.0,0.0,0,1
242,32,0.0,0.0,0,1
243,32,0.0,0.0,0,1
244,32,0.0,0.0,0,1
245,32,0.0,0.0,0,1
246,32,0.0,0.0,0,1
247,32,0.0,0.0,0,1
255,33,0.0,0.0,0,1
256,33,0.0,0.0,0,1
257,33,0.0,0.0,0,1
258,34,0.0,0.0,0,1
259,34,0.0,0.0,0,1
260,34,0.0,0.0,0,1
261,34,0.0,0.0,0,1
262,34,0.0,0.0,0,1
263,34,0.0,0.0,0,1
264,34,0.0,0.0,0,1
264,35,0.0,0.0,0,1
265,35,0.0,0.0,0,1
266,35,0.0,0.0,0,1
267,35,0.0,0.0,0,1
268,35,0.0,0.0,0,1
269,35,0.0,0.0,0,1
270,35,0.0,0.0,0,1
271,35,0.0,0.0,0,1
271,36,0.0,0.0,0,1
272,36,0.0,0.0,0,1
273,36,0.0,0.0,0,1
274,36,0.0,0.0,0,1
275,36,0.0,0.0,0,1
276,36,0.0,0.0,0,1
277,36,0.0,0.0,0,1
278,36,0.0,0.0,0,1
284,38,0.0,0.0,0,1
285,38,0.0,0.0,0,1
286,38,0.0,0.0,0,1
287,38,0.0,0.0,0,1
288,38,0.0,0.0,0,1
289,38,0.0,0.0,0,1
290,38,0.0,0.0,0,1
291,38,0.0,0.0,0,1
314,42,0.0,0.0,0,1
315,42,0.0,0.0,0,1
316,42,0.0,0.0,0,1
317,42,0.0,0.0,0,1
339,45,0.0,0.0,0,1
340,45,0.0,0.0,0,1
341,45,0.0,0.0,0,1
342,45,0.0,0.0,0,1
343,45,0.0,0.0,0,1
344,45,0.0,0.0,0,1
345,45,0.0,0.0,0,1
346,45,0.0,0.0,0,1
346,46,0.0,0.0,0,1
347,46,0.0,0.0,0,1
348,46,0.0,0.0,0,1
349,46,0.0,0.0,0,1
350,46,0.0,0.0,0,1
351,46,0.0,0.0,0,1
352,46,0.0,0.0,0,1
355,47,0.0,0.0,0,1
356,47,0.0,0.0,0,1
357,47,0.0,0.0,0,1
358,47,0.0,0.0,0,1
359,47,0.0,0.0,0,1
362,48,0.0,0.0,0,1
363,48,0.0,0.0,0,1
364,48,0.0,0.0,0,1
365,48,0.0,0.0,0,1
365,49,0.0,0.0,0,1
366,49,0.0,0.0,0,1
367,49,0.0,0.0,0,1
368,49,0.0,0.0,0,1
369,49,0.0,0.0,0,1
370,49,0.0,0.0,0,1
385,52,260410.16254605266,6255355.909830554,19.0,1
386,52,260409.99323363134,6255355.78458891,19.0,1
387,52,260409.6977484319,6255355.875810034,19.0,1
388,52,260409.13788983115,6255356.081874441,19.0,1
388,53,260414.4799444558,6255351.468845616,19.0,1
389,53,260413.88292596437,6255351.658034308,19.0,1
390,53,260413.39016018686,6255351.847703516,19.0,1
391,53,260412.86841823714,6255351.822140073,19.0,1
392,53,260412.3542278606,6255351.780661947,19.0,1
393,53,260411.8702608618,6255351.711506109,19.0,1
393,54,260323.46404489715,6255321.711807432,19.0,1
394,54,260323.18877126122,6255321.647783503,19.0,1
395,54,260322.7363431857,6255321.4959597215,19.0,1
396,54,260322.4981440154,6255321.252568845,19.0,1
397,55,260315.03848817397,6255308.761098618,19.0,1
398,55,260314.91650122261,6255308.699246621,19.0,1
399,55,260314.42115560902,6255308.526433908,19.0,1
400,55,260313.49321761323,6255308.403614063,19.0,1
401,55,260312.8940634959,6255307.998673765,19.0,1
402,55,260312.6246841875,6255307.589485707,19.0,1
403,55,260312.2024794897,6255307.24653195,19.0,1
404,56,260325.1695899104,6255328.674904624,19.0,1
405,56,260324.8174337421,6255328.444641439,19.0,1
406,56,260324.13958608164,6255327.975042932,19.0,1
407,56,260323.1744369402,6255327.295708875,19.0,1
407,57,260333.55685913246,6255333.277304439,19.0,1
408,57,260332.48038408413,6255332.949035246,19.0,1
409,57,260331.25323635736,6255332.619766581,19.0,1
410,57,260329.8495150812,6255332.007128121,19.0,1
411,57,260328.6704958197,6255331.256581619,19.0,1
412,57,260327.89504151314,6255330.311445428,19.0,1
413,57,260327.36813989124,6255329.271282427,19.0,1
415,58,260339.42825853502,6255333.86510984,19.0,1
416,58,260338.84060262755,6255332.982210059,19.0,1
417,58,260338.00130164908,6255332.08695141,19.0,1
418,58,260337.134322959,6255331.365543389,19.0,1
418,59,260341.86112938955,6255331.847289337,19.0,1
419,59,260341.03170354525,6255331.463472514,19.0,1
420,59,260340.1006731632,6255331.401658958,19.0,1
421,59,260339.04177858727,6255331.347245346,19.0,1
422,59,260338.31537533636,6255330.747254063,19.0,1
423,59,260337.30918800764,6255329.860087302,19.0,1
424,59,260336.04264225427,6255328.921101713,19.0,1
424,60,260333.1540288328,6255332.253959492,19.0,1
425,60,260332.03062126972,6255331.289890977,19.0,1
426,60,260331.3552338503,6255330.984475117,19.0,1
427,60,260330.8145275426,6255331.013613597,19.0,1
428,60,260330.18063960565,6255330.938691569,19.0,1
429,60,260329.33312073874,6255330.813661351,19.0,1
430,60,260328.7191539202,6255330.911129181,19.0,1
431,60,260328.10622928708,6255331.065643851,19.0,1
431,61,260316.88496741158,6255313.731266026,19.0,1
432,61,260316.39385887978,6255313.656728411,19.0,1
433,61,260316.0660317617,6255313.359096908,19.0,1
434,61,260315.95159638353,6255313.176231804,19.0,1
435,61,260315.79595196797,6255313.2246678,19.0,1
436,61,260315.62272708002,6255313.212270492,19.0,1
437,61,260315.79161237614,6255313.167371092,19.0,1
439,62,260308.47007173288,6255282.889261545,19.0,1
440,62,260308.63225970618,6255282.808390731,19.0,1
441,62,260308.65276171482,6255282.66597545,19.0,1
442,62,260309.05601913965,6255282.245245402,19.0,1
443,62,260309.58908844914,6255281.57728996,19.0,1
444,62,260309.65616418739,6255281.003573284,19.0,1
445,62,260309.45502239768,6255280.497724662,19.0,1
446,62,260309.35714239147,6255279.973866306,19.0,1
448,63,260351.40286671775,6255307.134629425,19.0,1
449,63,260350.75119328834,6255307.53311159,19.0,1
450,63,260349.8269114841,6255307.929652471,19.0,1
451,63,260349.00356790237,6255308.234395609,19.0,1
452,63,260348.5346698799,6255308.150747414,19.0,1
453,63,260348.23636565427,6255307.752111483,19.0,1
