world_index,id_fixation,x,y,zoom,etape,id
165,23,260300.36800253595,6255341.983520846,19.0,1,1
166,23,260300.11651123004,6255340.3338715695,19.0,1,1
167,23,260299.0174327172,6255340.833358162,19.0,1,1
168,23,260299.40741509144,6255340.901034012,19.0,1,1
169,23,260299.31462641736,6255338.553983283,19.0,1,1
175,25,260273.3600231624,6255344.128332073,19.0,1,1
176,25,260272.5306998281,6255342.575093492,19.0,1,1
177,25,260271.461759268,6255343.147868358,19.0,1,1
178,25,260270.22721373304,6255340.880986891,19.0,1,1
179,26,260277.5178475983,6255344.327323287,19.0,1,1
180,26,260277.1580715168,6255342.792075219,19.0,1,1
181,26,260276.2345756229,6255343.119460262,19.0,1,1
182,26,260276.31981272376,6255342.380696009,19.0,1,1
183,26,260274.9628018573,6255340.517217189,19.0,1,1
184,26,260274.64821561985,6255340.70365733,19.0,1,1
240,36,260284.854662238,6255350.674706719,19.0,1,1
241,36,260287.69412209373,6255348.907888463,19.0,1,1
242,36,260288.7759447493,6255348.741072589,19.0,1,1
243,36,260290.26544984657,6255348.811304782,19.0,1,1
244,36,260291.20908896395,6255349.227912004,19.0,1,1
245,36,260292.03403853637,6255348.645738248,19.0,1,1
246,36,260292.21592552293,6255348.397215462,19.0,1,1
246,37,260294.7096360881,6255352.147910584,19.0,1,1
247,37,260294.5939535044,6255352.128113331,19.0,1,1
248,37,260294.28177625293,6255351.749293874,19.0,1,1
249,37,260294.82422523136,6255352.167938483,19.0,1,1
250,37,260294.861419292,6255352.552985426,19.0,1,1
251,37,260294.73490481373,6255352.366564506,19.0,1,1
251,38,260287.50403430368,6255360.388872347,19.0,1,1
252,38,260287.1211251224,6255361.020827542,19.0,1,1
253,38,260287.367097971,6255361.281593871,19.0,1,1
254,38,260285.65893895167,6255360.8399037225,19.0,1,1
254,39,260282.26028681043,6255357.978585736,19.0,1,1
255,39,260282.64032571047,6255358.121952438,19.0,1,1
256,39,260282.17631400007,6255358.631279995,19.0,1,1
257,39,260281.7228779091,6255358.662494303,19.0,1,1
258,39,260281.9080964721,6255358.936849619,19.0,1,1
259,39,260281.09423506935,6255358.422178727,19.0,1,1
260,39,260280.72012466684,6255358.752466086,19.0,1,1
392,64,260644.95827582444,6255521.969285705,17.0,1,2
393,64,260648.3130194972,6255520.407263295,17.0,1,2
394,64,260652.3573824004,6255520.639448542,17.0,1,2
395,64,260650.6930612315,6255525.820354532,17.0,1,2
396,64,260649.22641587385,6255525.796290299,17.0,1,2
397,64,260655.54479323467,6255533.043929744,17.0,1,2
403,65,260662.1531737856,6255529.665310343,17.0,1,2
405,66,260639.03827527136,6255503.300197646,17.0,1,2
429,70,260794.46559276895,6255656.258162104,17.0,1,2
430,70,260794.39643265985,6255662.008052935,17.0,1,2
431,70,260792.89452384732,6255658.015389264,17.0,1,2
432,70,260795.1487880367,6255663.210803272,17.0,1,2
433,70,260794.7103867521,6255663.570305993,17.0,1,2
434,70,260797.64982806996,6255661.905107224,17.0,1,2
435,70,260797.44330450296,6255662.052875452,17.0,1,2
435,71,260784.0299336943,6255608.758211538,17.0,1,2
436,71,260780.2054890037,6255606.341178485,17.0,1,2
437,71,260783.20254096587,6255606.573978793,17.0,1,2
438,71,260777.91582467957,6255607.075252905,17.0,1,2
439,71,260782.15126630315,6255605.136506085,17.0,1,2
440,71,260784.76383726337,6255611.566884211,17.0,1,2
441,71,260785.4544815942,6255612.352393044,17.0,1,2
441,72,260780.6686293788,6255602.6519701695,17.0,1,2
442,72,260777.76629669656,6255603.846724723,17.0,1,2
443,72,260778.0328774808,6255590.592325918,17.0,1,2
444,72,260780.9078741515,6255591.573962092,17.0,1,2
