id_pan,pourcentage,nbr_point_t
0,0.18421052631578946,38
1,0.22,50
2,0.08333333333333333,36
3,0.043478260869565216,69
4,0.02962962962962963,135
5,0.04216867469879518,166
6,0.0546875,128
7,0.16666666666666666,12
8,0.125,64
9,0.03614457831325301,83
10,0.11320754716981132,106
12,0.29411764705882354,17
14,0.24242424242424243,33
15,0.5833333333333334,12
16,0.2,40
17,0.13333333333333333,30
19,0.06896551724137931,116
20,0.4583333333333333,24
21,0.10526315789473684,95
22,0.5882352941176471,17
23,0.09174311926605505,109
24,0.4,15
25,0.15625,32
26,0.3157894736842105,19
27,0.125,16
28,0.19230769230769232,26
29,0.13793103448275862,58
30,0.2727272727272727,11
31,0.16279069767441862,43
32,0.15555555555555556,45
33,1.0,16
34,0.2894736842105263,38
35,0.18604651162790697,43
36,0.09230769230769231,65
37,0.36363636363636365,33
38,0.8666666666666667,15
39,0.5454545454545454,22
40,0.13793103448275862,29
41,0.1702127659574468,47
42,0.1450381679389313,131
43,0.14814814814814814,27
44,0.01694915254237288,295
45,0.5714285714285714,21
46,0.034482758620689655,29
47,0.027888446215139442,251
48,0.3125,16
49,0.5384615384615384,13
50,0.03076923076923077,65
51,0.38095238095238093,21
52,0.6,30
53,0.11538461538461539,26
54,0.06818181818181818,132
55,0.07142857142857142,42
56,0.0625,16
57,0.1111111111111111,18
58,0.11363636363636363,44
60,0.09345794392523364,107
61,0.07142857142857142,56
