id_zoom,pourcentage,type,nbr_point_t
0,0.16,in,25
1,0.1388888888888889,out,36
2,0.1,out,50
4,0.2727272727272727,out,22
5,0.3333333333333333,out,12
6,0.25,out,12
7,0.3333333333333333,out,6
10,0.037037037037037035,out,27
11,0.42857142857142855,out,7
12,0.5555555555555556,out,9
13,0.16666666666666666,out,12
16,0.16666666666666666,out,24
17,0.09302325581395349,in,43
18,0.25925925925925924,in,27
19,0.23529411764705882,in,17
20,0.4166666666666667,in,12
21,0.3333333333333333,in,15
23,0.2727272727272727,in,22
24,0.4,in,20
25,0.5333333333333333,out,15
26,0.2857142857142857,in,14
27,0.6666666666666666,in,15
28,0.11538461538461539,in,26
29,0.19047619047619047,in,21
32,0.4,in,15
33,0.35714285714285715,in,14
34,0.2222222222222222,in,18
35,0.2,in,20
36,0.25,in,12
37,0.14285714285714285,in,21
38,0.34615384615384615,in,26
39,0.03333333333333333,in,30
40,0.35714285714285715,in,28
41,0.13333333333333333,in,15
42,0.2631578947368421,in,19
43,0.25,in,4
44,0.25,in,16
45,0.16666666666666666,in,12
