world_index,id_fixation,x,y,zoom,etape,id_pan
1086,198,260322.06804822397,6255215.233806718,17.0,1,0
1087,198,260325.9542039605,6255229.532035677,17.0,1,0
1088,198,260341.9072269186,6255245.42972884,17.0,1,0
1089,198,260327.5865738879,6255240.771262437,17.0,1,0
1090,198,260331.13082446047,6255233.51047608,17.0,1,0
1091,198,260325.4945489269,6255222.205745402,17.0,1,0
1092,198,260312.225375579,6255213.618197183,17.0,1,0
1092,199,260361.53947200617,6255216.340300124,17.0,1,0
1093,199,260380.15579244983,6255194.881346568,17.0,1,0
1094,199,260338.23478867605,6255194.066007312,17.0,1,0
1095,199,260365.6269665794,6255207.144632145,17.0,1,0
1096,199,260351.68020184612,6255211.228094087,17.0,1,0
1097,200,260890.5847246897,6255150.615904506,17.0,1,0
1098,200,260863.52497091037,6255157.003564988,17.0,1,0
1099,200,260861.12049533776,6255162.196903168,17.0,1,0
1100,200,260884.70805627096,6255175.223264393,17.0,1,0
1101,200,260860.18488389577,6255113.601065568,17.0,1,0
1102,200,260862.7243993652,6255116.639924543,17.0,1,0
1103,200,260860.8703343844,6255126.670788542,17.0,1,0
1103,201,260855.3298715712,6255167.525013009,17.0,1,0
1104,201,260853.44833389888,6255177.746776336,17.0,1,0
1105,201,260940.105777504,6255113.444188752,17.0,1,0
1106,201,260941.4112087337,6255119.075296071,17.0,1,0
1107,201,260978.12329906595,6255103.844987141,17.0,1,0
1108,201,260978.3422605181,6255105.192968581,17.0,1,0
1109,202,260942.76826857723,6255077.604825076,17.0,1,0
1110,202,260948.139111439,6255088.62255326,17.0,1,0
1111,202,260946.1110527449,6255099.501277827,17.0,1,0
1112,202,260949.2183371735,6255097.861450293,17.0,1,0
1113,202,260945.53070922056,6255108.370446761,17.0,1,0
1114,202,260946.0473598381,6255108.196384708,17.0,1,0
1114,203,260887.3723879689,6255052.961743855,17.0,1,0
1115,203,260927.1283796309,6255075.071622516,17.0,1,0
1116,203,260883.9102821109,6255055.420216593,17.0,1,0
1117,203,260886.0726016255,6255058.687612028,17.0,1,0
1118,203,260887.9807919091,6255059.466432081,17.0,1,0
1119,203,261179.87370228703,6255038.22819176,17.0,1,0
1120,204,261117.64368212075,6255100.482130937,17.0,1,0
1121,204,261120.9654858996,6255108.024307363,17.0,1,0
1122,204,261157.99851011895,6255115.965055366,17.0,1,0
1123,204,261145.86207274807,6255121.879397934,17.0,1,0
1124,204,261140.03300999332,6255129.528517962,17.0,1,0
1125,204,261136.18539803303,6255140.258474829,17.0,1,0
1166,213,260347.08468116683,6255341.436920417,17.0,1,1
1167,213,260346.42344013337,6255339.458425329,17.0,1,1
1168,213,260340.65926623595,6255345.502007434,17.0,1,1
1169,213,260339.7632088636,6255342.4284744365,17.0,1,1
1170,213,260315.91311401487,6255374.217558102,17.0,1,1
1170,214,260461.37173871545,6255294.14647646,17.0,1,1
1171,214,260454.03427484547,6255288.561498661,17.0,1,1
1172,214,260462.0695929193,6255294.690420376,17.0,1,1
1173,214,260336.4646703085,6255395.763157132,17.0,1,1
1173,215,260397.201392506,6255353.2511915015,17.0,1,1
1174,215,260391.43082881588,6255350.943408527,17.0,1,1
