center,time,id_pan
"(259184.18093178963, 6255731.980552651)",1652443020938,0
"(259241.50870300352, 6255626.879638757)",1652443021039,0
"(259270.17258861044, 6255588.661124613)",1652443021138,0
"(259298.83647421736, 6255550.44261047)",1652443021249,0
"(259308.391102753, 6255540.887981934)",1652443021342,0
"(259308.391102753, 6255540.887981934)",1652443021452,0
"(259308.391102753, 6255540.887981934)",1652443021543,0
"(256907.05190471897, 6255332.4240655955)",1652443022838,1
"(257021.70744714673, 6255064.894466598)",1652443022937,1
"(257021.70744714673, 6255064.894466598)",1652443023037,1
"(257021.70744714673, 6255064.894466598)",1652443023137,1
"(257021.70744714673, 6255064.894466598)",1652443023239,1
"(257021.70744714673, 6255064.894466598)",1652443023339,1
"(257021.70744714673, 6255064.894466598)",1652443023438,1
"(257021.70744714673, 6255064.894466598)",1652443023540,1
"(257021.70744714673, 6255064.894466598)",1652443023649,1
"(258969.7517492979, 6254338.380309301)",1652443024841,2
"(259141.73506293958, 6253822.430368377)",1652443024941,2
"(257030.9948898816, 6246507.871399981)",1652443032339,3
"(257489.61705959268, 6248418.797107109)",1652443032439,3
"(257489.61705959268, 6248457.015621251)",1652443032539,3
"(257489.61705959268, 6248457.015621251)",1652443032643,3
"(257489.61705959268, 6248457.015621251)",1652443032753,3
"(257489.61705959268, 6248457.015621251)",1652443032849,3
"(257489.61705959268, 6248457.015621251)",1652443032945,3
"(257489.61705959268, 6248457.015621251)",1652443033041,3
"(269696.51604450133, 6250948.41479086)",1652443040339,4
"(270155.13821421243, 6250757.322220148)",1652443040439,4
"(270231.57524249767, 6250719.103706005)",1652443040539,4
"(270231.57524249767, 6250719.103706005)",1652443040643,4
"(270231.57524249767, 6250719.103706005)",1652443040754,4
"(270231.57524249767, 6250719.103706005)",1652443040848,4
"(266562.5978848093, 6250719.103706005)",1652443040939,4
"(265607.13503124454, 6250680.8851918625)",1652443041039,4
"(265530.69800295937, 6250680.8851918625)",1652443041144,4
"(265339.6054322464, 6250719.103706005)",1652443041240,4
"(265301.3869181038, 6250795.54073429)",1652443041345,4
"(265301.3869181038, 6250795.54073429)",1652443041440,4
"(265301.3869181038, 6250795.54073429)",1652443041549,4
"(264193.0500079686, 6251445.255474714)",1652443041639,4
"(254446.8604699624, 6255861.354264165)",1652443047440,5
"(254943.7011538161, 6255288.076552027)",1652443047540,5
"(255574.3066371688, 6254791.235868174)",1652443047639,5
"(256243.13063466415, 6254332.613698463)",1652443047739,5
"(256548.8787478049, 6254160.630384821)",1652443047840,5
"(256567.98800487624, 6254141.52112775)",1652443047939,5
"(256567.98800487624, 6254141.52112775)",1652443048039,5
"(256567.98800487624, 6254141.52112775)",1652443048138,5
"(256567.98800487624, 6254141.52112775)",1652443048246,5
"(257263.02382512495, 6251934.9693565965)",1652443048939,6
"(257263.02382512495, 6251934.9693565965)",1652443049043,6
"(257263.02382512495, 6251934.9693565965)",1652443049144,6
"(257263.02382512495, 6252546.465582877)",1652443049239,6
"(257263.02382512495, 6252584.68409702)",1652443049340,6
"(257263.02382512495, 6252584.68409702)",1652443049439,6
"(257263.02382512495, 6252584.68409702)",1652443049538,6
"(539831.9824624866, 5741429.000533853)",1652443057539,7
"(539841.5370910222, 5742002.278245993)",1652443057639,7
"(539855.8690338257, 5742336.690244741)",1652443057744,7
"(539855.8690338257, 5742336.690244741)",1652443057840,7
"(539855.8690338257, 5742336.690244741)",1652443057946,7
"(539855.8690338257, 5742336.690244741)",1652443058042,7
"(539855.8690338257, 5742336.690244741)",1652443058139,7
"(539855.8690338257, 5742336.690244741)",1652443058239,7
"(539855.8690338257, 5742336.690244741)",1652443058339,7
"(539812.8732054153, 5742651.992986418)",1652443058439,7
"(539808.0958911475, 5743043.732756378)",1652443058540,7
"(539798.5412626119, 5743120.169784664)",1652443058640,7
"(539798.5412626119, 5743120.169784664)",1652443058739,7
"(539798.5412626119, 5743120.169784664)",1652443058839,7
"(539812.8732054153, 5743402.031326466)",1652443058938,7
"(539956.1926334499, 5744285.834466013)",1652443059039,7
"(539984.8565190568, 5744395.712694174)",1652443059138,7
"(539989.6338333247, 5744400.490008442)",1652443059239,7
"(539989.6338333247, 5744400.490008442)",1652443059338,7
"(539989.6338333247, 5744400.490008442)",1652443059439,7
"(539980.079204789, 5744725.3473786535)",1652443059538,7
"(561452.992360198, 5993752.8644264545)",1652443073839,8
"(561739.6312162672, 5993991.730139846)",1652443073939,8
"(561882.9506443018, 5994120.717625078)",1652443074039,8
"(561968.9423011226, 5994264.037053113)",1652443074140,8
"(562011.938129533, 5994345.251395666)",1652443074239,8
"(562011.938129533, 5994345.251395666)",1652443074339,8
"(562011.938129533, 5994345.251395666)",1652443074439,8
"(562011.938129533, 5994345.251395666)",1652443074539,8
"(562069.2659007468, 5994708.327280021)",1652443074638,8
"(562136.1483004963, 5994975.856879021)",1652443074740,8
"(562136.1483004963, 5994975.856879021)",1652443074844,8
"(562136.1483004963, 5994975.856879021)",1652443074947,8
"(562136.1483004963, 5994975.856879021)",1652443075039,8
"(562136.1483004963, 5994975.856879021)",1652443075140,8
"(562427.997953714, 5994872.387141265)",1652443075738,9
"(562504.4349819991, 5995132.750768861)",1652443075839,9
"(560038.9263986167, 5993291.687962787)",1652443080739,11
"(559866.9430849752, 5993177.032420359)",1652443080840,11
"(559503.8672006206, 5993091.040763536)",1652443080938,11
"(559446.5394294068, 5993110.150020607)",1652443081039,11
"(559274.5561157652, 5993473.225904963)",1652443081139,11
"(559274.5561157652, 5993511.4444191065)",1652443081239,11
"(559274.5561157652, 5993511.4444191065)",1652443081338,11
"(559274.5561157652, 5993511.4444191065)",1652443081439,11
"(559274.5561157652, 5993511.4444191065)",1652443081539,11
"(559274.5561157652, 5993511.4444191065)",1652443081638,11
"(140138.94355574602, 5753136.357379347)",1652443095939,13
"(140134.16624147817, 5752988.260637043)",1652443096040,13
"(140129.38892721038, 5752978.706008507)",1652443096139,13
"(140129.38892721038, 5752978.706008507)",1652443096238,13
"(140175.0626237634, 5752635.549571763)",1652443100139,15
"(-186412.36176641833, 6125431.775529296)",1652443108638,16
"(-186278.59696691926, 6125517.767186116)",1652443108738,16
"(-186249.93308131234, 6125527.3218146525)",1652443108840,16
"(-185934.63033963594, 6125503.435243312)",1652443110839,17
"(-185815.1974829404, 6125503.435243312)",1652443110939,17
"(-185805.64285440472, 6125498.657929044)",1652443111038,17
"(-185185.33476187088, 6125004.602484795)",1652443111938,18
"(-185113.67504785355, 6124943.691727881)",1652443112039,18
"(-185080.23384797882, 6124915.027842273)",1652443112139,18
"(240225.86852393503, 6348703.15247854)",1652443122238,19
"(243894.84588162345, 6343964.0567248585)",1652443122339,19
"(245423.586447327, 6341365.197763163)",1652443122439,19
"(245423.586447327, 6341365.197763163)",1652443122539,19
"(245423.586447327, 6341365.197763163)",1652443122639,19
"(245423.586447327, 6333568.620878075)",1652443122739,19
"(242366.1053159199, 6323478.933144432)",1652443122839,19
"(241907.48314620886, 6322867.436918151)",1652443122938,19
"(241907.48314620886, 6322714.56286158)",1652443123039,19
"(241907.48314620886, 6322714.56286158)",1652443123142,19
"(241907.48314620886, 6322714.56286158)",1652443123250,19
"(241907.48314620886, 6324549.051540424)",1652443123339,19
"(241907.48314620886, 6326689.288332409)",1652443123439,19
"(241907.48314620886, 6326689.288332409)",1652443123540,19
"(241907.48314620886, 6326689.288332409)",1652443123638,19
"(233178.74549041913, 6348327.053136207)",1652443128639,20
"(232605.4677782803, 6348269.725364993)",1652443128738,20
"(232529.0307499951, 6348250.616107922)",1652443128843,20
"(232529.0307499951, 6348250.616107922)",1652443128938,20
"(232529.0307499951, 6348250.616107922)",1652443129038,20
"(232047.50396996818, 6348113.788331839)",1652443130938,21
"(232095.27711264644, 6347855.8133613765)",1652443131042,21
"(232123.94099825335, 6347741.157818948)",1652443131138,21
"(232190.82339800292, 6347655.166162126)",1652443131238,21
"(232200.3780265386, 6347645.61153359)",1652443131342,21
"(232200.3780265386, 6347645.61153359)",1652443131439,21
"(232200.3780265386, 6347645.61153359)",1652443131538,21
"(232200.3780265386, 6347645.61153359)",1652443131638,21
"(232200.3780265386, 6347645.61153359)",1652443131738,21
"(232257.70579775245, 6347645.61153359)",1652443131841,21
"(232744.99185307045, 6347836.704104304)",1652443131941,21
"(233174.95013717454, 6347989.5781608755)",1652443132040,21
"(233280.0510510667, 6348018.242046483)",1652443132139,21
"(233280.0510510667, 6348018.242046483)",1652443132239,21
"(233280.0510510667, 6348018.242046483)",1652443132339,21
"(233280.0510510667, 6348018.242046483)",1652443132450,21
"(233300.76207023067, 6347642.628621157)",1652443135140,22
"(233035.6211283665, 6347680.847135302)",1652443135239,22
"(232997.4026142239, 6347733.397592247)",1652443137038,23
"(233030.84381409863, 6347843.275820408)",1652443137140,23
"(233079.2367578465, 6347765.724527708)",1652443142840,24
"(232558.50950265373, 6347823.052298923)",1652443142939,24
"(232558.50950265373, 6347823.052298923)",1652443143038,24
"(232558.50950265373, 6347823.052298923)",1652443143139,24
"(232558.50950265373, 6347823.052298923)",1652443143239,24
"(232170.0201810724, 6347809.346715246)",1652443145840,25
"(232082.8341956847, 6347796.209101009)",1652443145939,25
"(232103.1377813229, 6347767.545215402)",1652443148139,26
"(232156.88256683588, 6347717.383415588)",1652443148239,26
"(232226.15362371923, 6347666.027287208)",1652443148339,26
"(232299.0076663035, 6347624.225787363)",1652443148438,26
"(232300.2019948705, 6347624.225787363)",1652443148540,26
"(232300.2019948705, 6347624.225787363)",1652443148648,26
"(232264.37213786185, 6347553.760401913)",1652443148739,26
"(232260.78915216099, 6347497.626959265)",1652443148839,26
"(232263.1778092949, 6347483.295016461)",1652443148939,26
