x,y,time,id_pan
259717.1998518016,6255040.974408042,1652880447178,0
259621.65356644514,6255021.8651509695,1652880447278,0
259559.54848096348,6255002.755893897,1652880447379,0
259430.5609957322,6254978.869322557,1652880447479,0
259301.57351050092,6254954.982751217,1652880447578,0
259215.5818536802,6254931.0961798765,1652880447680,0
259086.59436844886,6254907.209608536,1652880447779,0
258919.38836907502,6254897.65498,1652880447878,0
258900.27911200377,6254897.65498,1652880447979,0
258900.27911200377,6254897.65498,1652880448078,0
258900.27911200377,6254897.65498,1652880448190,0
258943.2749404142,6254926.318865607,1652880448279,0
258971.9388260211,6254969.314694018,1652880448378,0
258986.2707688246,6255040.974408037,1652880448479,0
258995.82539736023,6255112.634122056,1652880448579,0
259029.2665972349,6255165.184579003,1652880448679,0
259105.70362552008,6255241.621607288,1652880448778,0
259229.9137964835,6255332.390578377,1652880448879,0
259315.90545330432,6255356.277149717,1652880448979,0
259459.2248813391,6255313.281321307,1652880449079,0
259554.77116669554,6255251.176235825,1652880449179,0
259616.8762521772,6255184.293836073,1652880449279,0
259669.42670912322,6255112.634122055,1652880449379,0
259717.19985180144,6255031.419779501,1652880449479,0
259741.0864231405,6254969.314694018,1652880449579,0
259784.0822515509,6254873.768408662,1652880449679,0
264377.6558094171,6254252.7440684335,1652880455679,1
264377.6558094171,6254482.055153291,1652880455779,1
264339.4372952745,6254816.4671520395,1652880455880,1
264320.32803820324,6255017.114351288,1652880455978,1
264310.7734096676,6255198.652293468,1652880456079,1
264301.21878113196,6255294.198578825,1652880456178,1
264301.21878113196,6255399.299492718,1652880456278,1
264301.21878113196,6255466.181892469,1652880456379,1
264291.6641525963,6255466.181892469,1652880456481,1
264282.10952406074,6255561.728177826,1652880456579,1
260216.2793100407,6247071.011932641,1652880476230,2
260230.61125284416,6247116.396418187,1652880476330,2
260273.6070812545,6247197.61076074,1652880476429,2
260302.27096686146,6247247.772560553,1652880476529,2
260328.54619533446,6247293.157046098,1652880476630,2
260335.7121667362,6247312.2663031705,1652880476729,2
260347.65545240574,6247336.152874511,1652880476829,2
260352.43276667356,6247355.262131583,1652880476930,2
260357.21008094138,6247371.982731521,1652880477031,2
260357.21008094138,6247386.314674325,1652880477129,2
260357.21008094138,6247395.869302861,1652880477230,2
260357.21008094138,6247403.0352742635,1652880477330,2
260357.21008094138,6247414.978559934,1652880477431,2
260357.21008094138,6247419.755874202,1652880477530,2
260357.21008094138,6247419.755874202,1652880477633,2
260318.99156679882,6247426.921845604,1652880477730,2
260280.77305265627,6247426.921845604,1652880477830,2
260223.44528144243,6247422.144531336,1652880477929,2
260204.33602437115,6247417.367217068,1652880478029,2
259152.4803711815,6247287.038204543,1652880479244,3
257915.3789242916,6247368.355928648,1652880483430,4
257905.82429575597,6247339.692043041,1652880483531,4
257905.82429575597,6247339.692043041,1652880483641,4
257905.82429575597,6247339.692043041,1652880483736,4
257905.82429575597,6247387.46518572,1652880483830,4
257910.6016100238,6247549.893870826,1652880483929,4
273788.04601740674,6250730.6851279605,1652880494031,5
273775.5055674536,6250748.600056466,1652880494130,5
273774.9084031701,6250750.391549316,1652880494230,5
273774.9084031701,6250750.391549316,1652880494330,5
273774.9084031701,6250750.391549316,1652880494429,5
273774.9084031701,6250750.391549316,1652880494530,5
273770.7282531858,6250750.391549316,1652880494631,5
273742.66153186216,6250741.434085064,1652880494730,5
273742.66153186216,6250738.448263646,1652880494830,5
273742.66153186216,6250734.268113662,1652880494933,5
