x_min_ini,tps_ini,x_min_f,tps_f,tps,etape
232942.4429956865,1652366318039,235388.4279008121,1652366319240,1201,2
247675.38054934816,1652366324538,247656.27129227688,1652366325441,903,2
531559.0598468229,1652366377541,530622.7062503297,1652366378039,498,5
556253.0509521979,1652366393440,556501.4712941245,1652366394440,1000,6
556501.4712941245,1652366397545,556176.6139239128,1652366398039,494,6
556176.6139239128,1652366399239,555288.0334700977,1652366400140,901,6
557408.3175730621,1652366404039,557398.7629445265,1652366404140,101,6
559793.2508826001,1652366407039,559763.3926684259,1652366408039,1000,6
558773.0134091167,1652366409139,558718.0742950367,1652366413839,4700,6
558718.0742950367,1652366415239,558601.0300954751,1652366415540,301,6
558601.0300954751,1652366417139,558658.357866689,1652366417840,701,6
137258.2230522485,1652366442639,137220.00453810595,1652366443139,500,7
139359.33621253262,1652366450040,139448.91085505424,1652366451441,1401,7
-189968.2426176238,1652366466140,-189652.93987594752,1652366467340,1200,8
-189652.93987594752,1652366470853,-189136.98993502263,1652366472144,1291,8
-186011.06736792123,1652366474440,-185681.4326834415,1652366474839,399,8
-185681.4326834415,1652366475739,-186183.050681563,1652366476340,601,8
-189361.52370561069,1652366481139,-189638.60793314443,1652366482245,1106,8
-187331.9947629746,1652366483739,-187566.0831620979,1652366484540,801,8
-185216.00202996767,1652366487539,-185223.4665835112,1652366487840,301,8
231261.1779151118,1652366509453,231211.0161152997,1652366509846,393,9
232336.5563252057,1652366517039,232265.4937754719,1652366519140,2101,9
229252.06812065063,1652366521038,229424.0514342923,1652366521339,301,9
531978.6788926885,1652366547439,531787.5863219757,1652366548444,1005,10
531787.5863219757,1652366550239,531663.3761510124,1652366551040,801,10
535408.6451769685,1652366557240,534934.4967358847,1652366562139,4899,10
