id_participant,id_pan,distance,path
1,0,11698.145494104043,"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (18, 8), (19, 8), (20, 8), (21, 8), (22, 8), (23, 8), (24, 8), (25, 8), (26, 8), (27, 8), (28, 8), (29, 8), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (35, 8), (36, 8), (37, 8)]"
1,1,13368.96469467596,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (17, 0), (18, 0), (19, 0), (20, 0), (21, 0), (22, 0), (23, 0), (24, 0), (25, 0), (26, 0), (27, 0), (28, 1), (29, 2), (30, 3), (31, 4), (32, 5), (33, 6), (34, 7), (35, 8), (36, 9), (37, 10), (38, 11), (39, 12), (40, 12), (41, 12), (42, 12), (43, 12), (44, 12), (45, 12), (46, 12), (47, 12), (48, 12), (49, 12)]"
1,2,49873.63638340452,"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 6), (21, 6), (22, 7), (23, 8), (24, 9), (25, 10), (26, 11), (27, 11), (28, 11), (29, 11), (30, 11), (31, 11), (32, 11), (33, 11), (34, 12), (35, 13)]"
1,3,6532.280447810219,"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 5), (12, 5), (13, 5), (14, 5), (15, 6), (16, 7), (17, 8), (18, 9), (19, 10), (20, 11), (21, 12), (22, 13), (23, 14), (24, 14), (25, 14), (26, 14), (27, 14), (28, 14), (29, 14), (30, 14), (31, 14), (32, 14), (33, 14), (34, 14), (35, 14), (36, 14), (37, 14), (38, 14), (39, 14), (40, 14), (41, 14), (42, 14), (43, 14), (44, 14), (45, 14), (46, 14), (47, 14), (48, 14), (49, 14), (50, 14), (51, 14), (52, 14), (53, 14), (54, 14), (55, 14), (56, 14), (57, 14), (58, 14), (59, 14), (60, 14), (61, 14), (62, 14), (63, 15), (64, 16), (65, 17), (66, 18), (67, 19), (68, 20)]"
1,4,16464.271063743246,"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 11), (12, 12), (13, 13), (14, 14), (15, 15), (16, 16), (17, 17), (18, 18), (19, 19), (20, 20), (21, 21), (22, 22), (23, 22), (24, 22), (25, 22), (26, 22), (27, 22), (28, 22), (29, 22), (30, 22), (31, 22), (32, 23), (33, 24), (34, 25), (35, 26), (36, 27), (37, 28), (38, 29), (39, 30), (40, 31), (41, 32), (42, 33), (43, 34), (44, 35), (45, 36), (46, 36), (47, 36), (48, 36), (49, 36), (50, 36), (51, 36), (52, 36), (53, 36), (54, 36), (55, 36), (56, 36), (57, 36), (58, 36), (59, 36), (60, 36), (61, 36), (62, 36), (63, 36), (64, 36), (65, 36), (66, 36), (67, 36), (68, 36), (69, 36), (70, 36), (71, 36), (72, 36), (73, 36), (74, 36), (75, 36), (76, 36), (77, 36), (78, 36), (79, 36), (80, 36), (81, 36), (82, 36), (83, 36), (84, 36), (85, 36), (86, 36), (87, 36), (88, 36), (89, 36), (90, 36), (91, 36), (92, 36), (93, 36), (94, 36), (95, 36), (96, 36), (97, 36), (98, 36), (99, 36), (100, 36), (101, 36), (102, 36), (103, 36), (104, 36), (105, 36), (106, 36), (107, 36), (108, 36), (109, 36), (110, 36), (111, 36), (112, 36), (113, 36), (114, 36), (115, 36), (116, 36), (117, 36), (118, 36), (119, 36), (120, 36), (121, 36), (122, 36), (123, 36), (124, 36), (125, 36), (126, 36), (127, 36), (128, 36), (129, 36), (130, 36), (131, 37), (132, 38), (133, 39), (134, 40)]"
1,5,61589.33280993227,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2), (20, 2), (21, 2), (22, 2), (23, 2), (24, 2), (25, 2), (26, 2), (27, 2), (28, 2), (29, 2), (30, 2), (31, 2), (32, 2), (33, 2), (34, 2), (35, 2), (36, 2), (37, 2), (38, 2), (39, 2), (40, 2), (41, 2), (42, 2), (43, 2), (44, 2), (45, 2), (46, 2), (47, 2), (48, 2), (49, 2), (50, 2), (51, 2), (52, 2), (53, 2), (54, 2), (55, 2), (56, 2), (57, 2), (58, 2), (59, 2), (60, 2), (61, 2), (62, 2), (63, 2), (64, 2), (65, 2), (66, 2), (67, 2), (68, 2), (69, 2), (70, 2), (71, 2), (72, 2), (73, 2), (74, 2), (75, 2), (76, 2), (77, 2), (78, 2), (79, 2), (80, 2), (81, 2), (82, 2), (83, 2), (84, 2), (85, 2), (86, 2), (87, 2), (88, 2), (89, 2), (90, 2), (91, 2), (92, 2), (93, 2), (94, 2), (95, 2), (96, 2), (97, 2), (98, 2), (99, 2), (100, 2), (101, 2), (102, 2), (103, 2), (104, 2), (105, 2), (106, 2), (107, 2), (108, 2), (109, 2), (110, 2), (111, 2), (112, 2), (113, 2), (114, 2), (115, 2), (116, 2), (117, 2), (118, 2), (119, 2), (120, 2), (121, 2), (122, 2), (123, 3), (124, 4), (125, 5), (126, 6), (127, 7), (128, 8), (129, 9), (130, 10), (131, 11), (132, 12), (133, 13), (134, 14), (135, 15), (136, 16), (137, 17), (138, 18), (139, 19), (140, 20), (141, 21), (142, 22), (143, 23), (144, 24), (145, 25), (146, 26), (147, 27), (148, 28), (149, 29), (150, 30), (151, 31), (152, 32), (153, 33), (154, 34), (155, 35), (156, 36), (157, 37), (158, 38), (159, 39), (160, 40), (161, 41), (162, 42), (163, 43), (164, 44), (165, 45)]"
1,6,95302.94171323709,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (17, 1), (18, 2), (19, 3), (20, 4), (21, 5), (22, 6), (23, 7), (24, 8), (25, 9), (26, 10), (27, 11), (28, 12), (29, 13), (30, 14), (31, 15), (32, 16), (33, 17), (34, 18), (35, 19), (36, 20), (37, 21), (38, 22), (39, 23), (40, 23), (41, 23), (42, 23), (43, 23), (44, 23), (45, 24), (46, 25), (47, 26), (48, 27), (49, 28), (50, 28), (51, 28), (52, 28), (53, 28), (54, 28), (55, 28), (56, 28), (57, 28), (58, 28), (59, 28), (60, 28), (61, 28), (62, 28), (63, 28), (64, 28), (65, 28), (66, 28), (67, 28), (68, 28), (69, 28), (70, 28), (71, 28), (72, 28), (73, 28), (74, 28), (75, 28), (76, 28), (77, 28), (78, 28), (79, 28), (80, 28), (81, 28), (82, 28), (83, 28), (84, 28), (85, 28), (86, 28), (87, 28), (88, 28), (89, 28), (90, 28), (91, 28), (92, 28), (93, 28), (94, 28), (95, 29), (96, 30), (97, 31), (98, 32), (99, 33), (100, 34), (101, 35), (102, 36), (103, 37), (104, 38), (105, 38), (106, 38), (107, 38), (108, 38), (109, 38), (110, 38), (111, 38), (112, 38), (113, 38), (114, 38), (115, 38), (116, 38), (117, 38), (118, 38), (119, 38), (120, 38), (121, 38), (122, 38), (123, 38), (124, 38), (125, 38), (126, 38), (127, 38)]"
1,7,30214.309099242004,"[(0, 0), (1, 1), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2)]"
1,8,39806.21090717532,"[(0, 0), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 2), (9, 3), (10, 4), (11, 5), (12, 6), (13, 7), (14, 8), (15, 9), (16, 10), (17, 10), (18, 11), (19, 12), (20, 13), (21, 14), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (27, 15), (28, 15), (29, 15), (30, 15), (31, 15), (32, 15), (33, 15), (34, 16), (35, 16), (36, 16), (37, 16), (38, 16), (39, 16), (40, 16), (41, 16), (42, 16), (43, 16), (44, 16), (45, 16), (46, 16), (47, 16), (48, 16), (49, 16), (50, 16), (51, 16), (52, 16), (53, 16), (54, 16), (55, 17), (56, 18), (57, 19), (58, 20), (59, 21), (60, 22), (61, 23), (62, 24), (63, 25)]"
1,9,344694.20470760675,"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 11), (12, 12), (13, 13), (14, 14), (15, 15), (16, 16), (17, 17), (18, 18), (19, 19), (20, 20), (21, 21), (22, 22), (23, 23), (24, 24), (25, 25), (26, 26), (27, 27), (28, 28), (29, 29), (30, 30), (31, 31), (32, 32), (33, 33), (34, 34), (35, 35), (36, 36), (37, 37), (38, 37), (39, 37), (40, 37), (41, 37), (42, 37), (43, 37), (44, 37), (45, 37), (46, 37), (47, 37), (48, 37), (49, 37), (50, 37), (51, 37), (52, 37), (53, 37), (54, 37), (55, 37), (56, 37), (57, 37), (58, 38), (59, 39), (60, 40), (60, 41), (61, 42), (62, 42), (63, 42), (64, 43), (65, 43), (66, 43), (67, 43), (68, 43), (69, 43), (70, 43), (71, 43), (72, 43), (73, 43), (74, 43), (75, 43), (76, 43), (77, 43), (78, 43), (79, 44), (80, 45), (81, 46), (82, 47)]"
