id_participant,id_zoom,pourcentage,type,nbr_point_t
1,0,0.46153846153846156,out,13
1,1,0.05,out,20
1,2,0.1111111111111111,out,18
1,3,0.66,out,50
1,4,0.06666666666666667,out,45
1,5,0.42857142857142855,out,14
1,6,0.09523809523809523,out,21
1,8,0.13333333333333333,out,45
1,10,0.2857142857142857,out,14
1,12,1.0,in,17
1,13,0.75,in,40
1,14,0.8888888888888888,in,18
1,15,0.5384615384615384,in,13
1,16,0.7368421052631579,in,19
1,17,0.3684210526315789,in,19
1,18,1.0,in,18
1,19,0.6470588235294118,in,17
1,20,0.42857142857142855,out,14
1,21,0.15384615384615385,out,26
1,22,0.46153846153846156,in,13
1,23,0.4,in,15
1,24,0.8947368421052632,in,19
1,25,0.26666666666666666,in,15
1,26,0.3448275862068966,in,58
1,27,0.07142857142857142,out,28
1,28,0.125,out,16
1,29,0.45652173913043476,in,46
1,30,0.23076923076923078,in,26
1,31,0.6153846153846154,in,26
1,32,0.18181818181818182,in,22
1,33,0.3076923076923077,in,13
1,34,1.0,in,14
1,35,0.46153846153846156,in,13
1,36,0.3684210526315789,in,38
1,37,0.21428571428571427,in,14
1,38,0.3870967741935484,in,31
1,39,0.16666666666666666,in,18
1,40,0.4444444444444444,in,18
1,42,0.16666666666666666,in,18
1,44,0.23529411764705882,in,17
1,45,1.0,in,19
1,47,1.0,in,13
1,48,0.55,in,20
1,49,0.4782608695652174,in,23
1,50,0.1111111111111111,out,18
1,51,0.23529411764705882,in,17
1,52,1.0,in,14
1,53,1.0,in,18
1,54,0.5,in,18
10,0,0.2,in,45
10,1,0.6,out,30
10,3,0.5,out,12
10,4,0.058823529411764705,out,17
10,5,0.38461538461538464,in,13
10,7,0.38461538461538464,out,13
10,9,0.2857142857142857,out,14
10,10,0.1111111111111111,out,18
10,11,0.21428571428571427,in,14
10,12,0.2857142857142857,out,14
10,14,0.2916666666666667,in,24
10,16,0.2727272727272727,in,11
10,17,0.14814814814814814,in,27
10,18,0.3333333333333333,in,15
10,19,0.2727272727272727,out,11
10,20,0.38461538461538464,in,13
10,24,0.3333333333333333,out,15
10,26,0.5,in,36
10,27,0.5384615384615384,in,13
10,28,0.5,in,14
10,30,0.16129032258064516,in,31
10,31,0.4666666666666667,in,15
10,32,0.625,in,16
10,33,0.36363636363636365,in,11
10,35,0.35714285714285715,out,14
10,37,0.5,in,12
10,39,0.36363636363636365,in,11
10,40,0.375,in,16
10,41,0.325,in,40
10,48,0.5333333333333333,in,15
10,49,0.35714285714285715,in,14
10,50,0.7692307692307693,in,13
11,0,0.16666666666666666,out,18
11,2,1.0,out,15
11,3,0.5333333333333333,out,15
11,4,0.3333333333333333,out,12
11,6,0.3076923076923077,out,13
11,7,0.2,out,25
11,8,0.1891891891891892,out,37
11,9,0.13333333333333333,out,15
11,10,0.3333333333333333,out,15
11,11,0.4375,out,16
11,12,0.9,in,20
11,13,0.4166666666666667,in,12
11,18,0.17857142857142858,in,28
11,19,1.0,in,12
11,20,0.75,in,20
11,21,0.6666666666666666,in,15
11,22,0.3333333333333333,out,12
11,23,0.5333333333333333,in,30
11,24,1.0,in,20
11,25,0.25,out,12
11,26,0.7894736842105263,in,19
11,27,0.6666666666666666,in,18
11,28,1.0,in,14
11,29,1.0,in,15
11,30,0.6956521739130435,in,23
11,31,0.7142857142857143,in,14
11,32,0.6818181818181818,in,22
11,33,0.8125,in,16
11,36,0.7142857142857143,in,14
11,37,0.65,in,20
12,0,0.5384615384615384,out,13
12,1,0.32142857142857145,out,28
12,2,0.25,out,12
12,4,0.5714285714285714,in,14
12,6,0.46153846153846156,out,13
12,8,0.5,out,12
12,10,0.25,out,12
12,11,0.25,out,12
12,12,0.5384615384615384,in,13
12,16,0.46153846153846156,out,13
12,17,0.16666666666666666,out,12
12,20,0.2857142857142857,out,14
12,22,0.2727272727272727,out,11
12,23,0.5833333333333334,out,12
12,25,0.06349206349206349,in,63
12,27,0.24242424242424243,in,33
12,28,0.2727272727272727,in,11
12,30,0.2692307692307692,in,26
12,31,0.2926829268292683,in,41
12,32,0.8333333333333334,in,24
12,33,0.45454545454545453,in,22
12,34,0.2962962962962963,in,27
12,35,0.3076923076923077,out,13
12,38,0.3333333333333333,in,12
12,39,0.5,in,14
12,40,0.36363636363636365,in,11
12,42,0.11538461538461539,out,26
12,44,0.7692307692307693,in,13
12,45,0.3333333333333333,in,12
12,46,0.23076923076923078,in,39
12,47,0.6153846153846154,in,13
12,50,0.16279069767441862,in,43
12,52,0.4782608695652174,in,23
12,53,0.4166666666666667,in,12
12,55,0.2692307692307692,in,26
12,56,0.36363636363636365,out,11
12,58,0.2222222222222222,in,18
13,0,0.2,out,20
13,3,0.23529411764705882,in,17
13,6,0.36363636363636365,out,11
13,8,0.5384615384615384,in,13
13,10,0.45454545454545453,out,11
13,13,0.3076923076923077,out,13
13,15,0.3076923076923077,in,13
13,16,0.6923076923076923,in,13
13,17,0.28,out,25
13,18,0.18181818181818182,in,22
13,20,0.6428571428571429,in,14
13,25,0.631578947368421,in,19
13,26,1.0,in,17
13,27,0.3333333333333333,in,12
13,28,0.2,in,25
13,30,0.1724137931034483,in,29
13,32,0.125,out,16
13,33,0.45454545454545453,in,11
13,34,0.5714285714285714,in,14
13,35,0.625,in,24
13,38,0.4883720930232558,in,43
13,39,0.5,in,16
13,40,0.35714285714285715,in,14
13,42,0.5806451612903226,out,31
13,46,0.625,in,16
13,47,0.23076923076923078,out,13
13,49,0.35294117647058826,in,17
13,50,0.17647058823529413,out,17
13,52,0.45454545454545453,in,11
13,53,0.8461538461538461,in,13
13,55,0.3333333333333333,in,12
15,0,0.034482758620689655,out,29
15,1,0.4166666666666667,in,12
15,3,0.075,out,40
15,4,0.12,in,25
15,5,0.46153846153846156,in,13
15,6,0.2222222222222222,out,18
15,9,0.4,in,15
15,11,0.2727272727272727,out,11
15,16,0.25,out,28
15,21,0.06,in,50
15,22,0.057692307692307696,in,52
15,25,0.2916666666666667,in,24
15,26,0.21052631578947367,in,19
15,30,0.09090909090909091,out,22
15,32,0.17647058823529413,in,17
15,42,0.3333333333333333,in,18
15,46,0.3333333333333333,out,12
15,49,0.1111111111111111,in,18
15,67,0.125,in,16
16,0,0.19444444444444445,out,36
16,1,0.47368421052631576,out,19
16,2,0.8392857142857143,in,56
16,3,0.375,out,16
16,4,0.3,out,40
16,6,0.08974358974358974,out,78
16,7,0.17391304347826086,out,23
16,8,0.6153846153846154,out,13
16,9,0.13793103448275862,out,58
16,10,0.23809523809523808,out,21
16,11,0.23809523809523808,out,21
16,12,0.2727272727272727,in,33
16,13,0.42857142857142855,in,21
16,14,0.20833333333333334,in,96
16,16,0.65,in,20
16,17,0.875,in,56
16,18,0.5,out,50
16,19,0.7586206896551724,in,29
16,20,0.391304347826087,in,23
16,21,0.5555555555555556,in,18
16,22,0.375,in,48
16,23,0.46153846153846156,in,13
16,24,0.08333333333333333,in,84
16,25,0.08064516129032258,in,62
16,26,0.12359550561797752,in,89
16,27,0.38235294117647056,in,34
16,28,0.8148148148148148,in,27
16,29,0.375,in,16
16,30,1.0,in,21
16,31,0.36585365853658536,in,41
16,32,0.8870967741935484,in,62
16,33,0.45454545454545453,out,11
16,34,0.6,in,20
18,0,0.8,in,25
18,1,0.3888888888888889,out,36
18,2,0.08,out,50
18,4,0.09090909090909091,out,22
18,5,0.25,out,12
18,6,0.5,out,12
18,10,0.3333333333333333,out,27
18,13,0.25,out,12
18,16,0.75,out,24
18,17,0.27906976744186046,in,43
18,18,0.1111111111111111,in,27
18,19,0.47058823529411764,in,17
18,20,0.4166666666666667,in,12
18,21,0.4,in,15
18,23,0.2727272727272727,in,22
18,24,0.35,in,20
18,25,0.4,out,15
18,26,0.2857142857142857,in,14
18,27,0.8,in,15
18,28,0.4230769230769231,in,26
18,29,0.14285714285714285,in,21
18,32,0.5333333333333333,in,15
18,33,0.35714285714285715,in,14
18,34,0.4444444444444444,in,18
18,35,0.4,in,20
18,36,0.4166666666666667,in,12
18,37,0.5714285714285714,in,21
18,38,0.11538461538461539,in,26
18,39,0.43333333333333335,in,30
18,40,0.17857142857142858,in,28
18,41,0.6,in,15
18,42,0.47368421052631576,in,19
18,44,0.1875,in,16
18,45,0.3333333333333333,in,12
19,0,0.29411764705882354,out,17
19,1,0.5,out,16
19,2,0.3333333333333333,out,33
19,3,0.5714285714285714,in,21
19,4,0.7142857142857143,in,21
19,5,0.3125,in,16
19,6,0.14285714285714285,out,21
19,7,0.2608695652173913,out,23
19,8,0.23529411764705882,out,17
19,11,0.2,out,15
19,13,0.8333333333333334,out,12
19,15,0.45454545454545453,out,11
19,16,0.4166666666666667,out,12
19,18,0.23529411764705882,out,17
19,19,0.4117647058823529,out,17
19,20,0.59375,in,32
19,21,0.26666666666666666,in,15
19,22,0.21052631578947367,in,19
19,23,0.16666666666666666,in,24
19,24,0.8,in,20
19,25,0.375,in,16
19,26,0.08823529411764706,in,68
19,27,0.14285714285714285,out,42
19,28,0.25,in,20
19,29,0.21052631578947367,in,19
19,30,0.2,in,20
19,31,0.15,in,20
19,32,0.2857142857142857,in,21
19,33,0.3157894736842105,in,19
19,34,0.4375,in,16
19,35,0.16,in,25
19,36,0.17647058823529413,out,17
19,37,0.47619047619047616,in,21
19,38,0.2222222222222222,in,54
19,39,0.14285714285714285,in,21
19,40,0.2857142857142857,in,28
19,41,0.19047619047619047,out,21
19,42,0.5294117647058824,out,17
19,43,0.11764705882352941,in,17
19,44,0.5333333333333333,in,15
19,45,0.23076923076923078,in,26
19,46,0.4166666666666667,in,12
19,47,0.2608695652173913,in,23
19,48,0.06741573033707865,in,89
19,49,0.4666666666666667,in,15
19,50,0.3333333333333333,out,12
19,51,0.4,in,15
