participant,zone,nbr
10,0,0
10,1,8
10,2,10
10,3,7
10,4,4
11,0,0
11,1,5
11,2,5
11,3,5
11,4,5
12,0,7
12,1,7
12,2,3
12,3,4
12,4,1
13,0,0
13,1,14
13,2,10
13,3,14
13,4,8
15,0,0
15,1,15
15,2,4
15,3,4
15,4,5
16,0,0
16,1,2
16,2,11
16,3,5
16,4,4
18,0,1
18,1,15
18,2,5
18,3,10
18,4,2
19,0,1
19,1,17
19,2,40
19,3,6
19,4,13
1,0,0
1,1,4
1,2,5
1,3,11
1,4,7
20,0,0
20,1,5
20,2,4
20,3,12
20,4,5
3,0,0
3,1,13
3,2,9
3,3,10
3,4,2
4,0,2
4,1,3
4,2,17
4,3,2
4,4,0
5,0,0
5,1,4
5,2,6
5,3,4
5,4,1
6,0,0
6,1,12
6,2,10
6,3,10
6,4,6
7,0,0
7,1,6
7,2,5
7,3,7
7,4,7
8,0,0
8,1,20
8,2,14
8,3,7
8,4,8
9,0,1
9,1,2
9,2,2
9,3,1
9,4,0
