center,time,id_zoom
"(260299.54461467967, 6255337.069678179)",1652360661523,0
"(260299.95826599922, 6255337.121465899)",1652360661623,0
"(260301.64023060526, 6255336.903178735)",1652360663523,1
"(260303.02448098987, 6255336.717731696)",1652360663623,1
"(260068.94329087145, 6255406.573276291)",1652360668631,2
"(259755.263831727, 6255462.860070801)",1652360668727,2
"(259599.99264017347, 6255490.744034615)",1652360668826,2
"(259606.4441653033, 6246740.241703365)",1652360680122,3
"(259594.48092097274, 6246742.660907336)",1652360680224,3
"(259590.84576211876, 6246743.385118453)",1652360680322,3
"(259538.26096102464, 6246753.785780925)",1652360680423,3
"(259524.67470068665, 6246756.472985309)",1652360680522,3
"(259524.21563657135, 6246756.563782855)",1652360680626,3
"(259524.21563657135, 6246756.563782855)",1652360680721,3
"(259524.21563657135, 6246756.563782855)",1652360680831,3
"(259524.21563657135, 6246756.563782855)",1652360680923,3
"(259524.21563657135, 6246756.563782855)",1652360681025,3
"(259524.21563657135, 6246756.563782855)",1652360681123,3
"(259528.28341801133, 6246755.745260801)",1652360681222,3
"(259579.0350447278, 6246745.53298014)",1652360681323,3
"(259592.89660070091, 6246742.743747377)",1652360681423,3
"(259547.47051535718, 6246813.960490425)",1652360686723,4
"(259505.1222885205, 6246849.1221569525)",1652360686827,4
"(259497.36050642742, 6246855.566752488)",1652360686927,4
"(259497.34324381486, 6246855.581085609)",1652360687026,4
"(259497.34324381486, 6246855.581085609)",1652360687123,4
"(259497.34324381486, 6246855.581085609)",1652360687230,4
"(259497.34324381486, 6246855.581085609)",1652360687324,4
"(259497.34324381486, 6246855.581085609)",1652360687436,4
"(259497.34324381486, 6246855.581085609)",1652360687523,4
"(259437.53617198952, 6246905.095710667)",1652360687623,4
"(259352.52328931307, 6246975.478374159)",1652360687722,4
"(259336.94172853162, 6246988.378439591)",1652360687821,4
"(259269.39968362526, 6246550.083094596)",1652360698921,5
"(259156.4843455217, 6246499.095269834)",1652360699023,5
"(273625.9534602779, 6250802.289969087)",1652360708723,6
"(273632.70761045686, 6250805.284701756)",1652360708822,6
"(273642.8549127485, 6250809.76305549)",1652360708923,6
"(273656.93922321923, 6250815.975720752)",1652360709022,6
"(273659.4358030065, 6250817.076975553)",1652360709122,6
"(273697.37372437294, 6250829.028059084)",1652360710523,7
"(273739.704225432, 6250842.3619304495)",1652360710622,7
"(273747.1703978447, 6250844.713733053)",1652360710723,7
"(273885.9059687037, 6251183.5952786645)",1652360714423,8
"(273942.327626146, 6251284.052955745)",1652360714522,8
"(273950.1178713321, 6251297.92333763)",1652360714622,8
"(273950.11808167445, 6251297.923712141)",1652360714722,8
"(273950.11808167445, 6251297.923712141)",1652360714822,8
"(273950.11808167445, 6251297.923712141)",1652360714923,8
"(273950.11808167445, 6251297.923712141)",1652360715022,8
"(273950.11808167445, 6251297.923712141)",1652360715122,8
"(273950.11808167445, 6251297.923712141)",1652360715226,8
"(273950.11808167445, 6251297.923712141)",1652360715338,8
"(273950.11808167445, 6251297.923712141)",1652360715423,8
"(274115.787851437, 6251554.54056929)",1652360715522,8
"(274220.717563596, 6251717.073136301)",1652360715622,8
"(256197.28431119907, 6255850.845686388)",1652360725522,9
"(256186.6169774201, 6255854.964451125)",1652360725621,9
"(256184.71782705365, 6255855.696210513)",1652360726930,10
"(256141.91509262682, 6255872.1233995985)",1652360727022,10
"(256130.92633400304, 6255876.340756694)",1652360727121,10
"(256053.7332172042, 6255905.884927127)",1652360729522,11
"(256022.69163758386, 6255917.765324625)",1652360729623,11
"(545271.1258089052, 5745713.459346807)",1652360752822,12
"(544283.690174237, 5745722.1387436325)",1652360752923,12
"(543503.8561178215, 5745473.214637843)",1652360755123,13
