tps_ini,tps_f,zoom_ini,zoom_f,tps,etape
1655822406817,1655822407418,19.0,16.0,601,3
1655822413118,1655822413522,16.0,15.0,404,3
1655822434322,1655822434720,19.0,18.0,398,4
1655822446517,1655822446917,18.0,17.0,400,4
1655822482316,1655822482716,10.0,11.0,400,5
1655822484118,1655822484418,11.0,12.0,300,5
1655822513816,1655822514419,12.0,15.0,603,5
1655822515530,1655822515817,15.0,14.0,287,5
1655822558320,1655822559019,11.0,13.0,699,6
1655822564226,1655822564716,13.0,11.0,490,6
1655822568918,1655822569919,11.0,13.0,1001,6
1655822570817,1655822571218,13.0,14.0,401,6
1655822586621,1655822586919,14.0,15.0,298,6
1655822601418,1655822601818,15.0,14.0,400,6
1655822608918,1655822609322,14.0,13.0,404,6
1655822612717,1655822614017,13.0,15.0,1300,6
1655822620317,1655822621417,15.0,17.0,1100,6
1655822623418,1655822623729,17.0,16.0,311,6
1655822628418,1655822628824,16.0,15.0,406,6
1655822650917,1655822651517,11.0,13.0,600,7
1655822652917,1655822653217,13.0,14.0,300,7
1655822655319,1655822655817,14.0,16.0,498,7
1655822657317,1655822657725,16.0,15.0,408,7
1655822659024,1655822659317,15.0,16.0,293,7
1655822673626,1655822674120,12.0,14.0,494,8
1655822675530,1655822675925,14.0,15.0,395,8
1655822680917,1655822681218,15.0,14.0,301,8
1655822687518,1655822687923,14.0,12.0,405,8
1655822696417,1655822696816,12.0,13.0,399,8
1655822697818,1655822698218,13.0,12.0,400,8
1655822720617,1655822721020,10.0,11.0,403,9
1655822722017,1655822724317,11.0,17.0,2300,9
1655822725717,1655822726516,17.0,14.0,799,9
1655822728717,1655822729916,14.0,16.0,1199,9
1655822743522,1655822743920,16.0,17.0,398,9
1655822760117,1655822760417,17.0,16.0,300,9
1655822764418,1655822764825,16.0,17.0,407,9
1655822786617,1655822787018,17.0,18.0,401,9
1655822819622,1655822819920,18.0,17.0,298,9
1655822824817,1655822825222,17.0,18.0,405,9
1655822857817,1655822858320,10.0,12.0,503,10
1655822861320,1655822861727,12.0,13.0,407,10
1655822863417,1655822863916,13.0,15.0,499,10
