id_fixation,x,y
19,565176.2491269142,6527726.226437092
19,565175.2701490973,6527726.200271427
19,565174.7204158382,6527726.015613825
19,565173.9855702941,6527725.596238365
20,565182.5559854932,6527706.658396989
20,565181.4653343881,6527706.455643281
20,565180.6349088098,6527706.496438043
20,565180.7130971957,6527706.485843726
20,565181.1350069654,6527705.906140145
20,565181.1061233897,6527705.187562836
20,565180.8468317955,6527704.694413729
20,565180.842048238,6527703.882686168
21,565201.7301695028,6527718.255923564
21,565201.6527328187,6527717.902070989
21,565201.3846030326,6527717.848060513
21,565201.1250722606,6527717.554113542
22,565164.4709833534,6527689.781772226
22,565164.564069104,6527689.953854362
22,565164.4371909366,6527689.812661241
22,565164.1134466002,6527689.676952521
22,565164.1401320172,6527689.328487706
22,565164.0193927486,6527688.921071623
22,565163.3506628025,6527688.629576928
22,565162.6914544136,6527688.465262347
23,565203.2984132646,6527712.560711563
23,565203.1075721,6527711.97287802
23,565202.3283875338,6527711.641977784
23,565201.5699089378,6527711.5667061955
23,565201.2282832079,6527712.002208692
24,565187.920403523,6527724.72250325
24,565187.8161561383,6527725.577659052
24,565187.9392302386,6527726.562797568
24,565188.5682908258,6527726.989493616
24,565189.1405865311,6527727.1500633415
24,565189.122739306,6527727.22123975
24,565188.6379371448,6527726.952576592
24,565188.071336151,6527726.650161415
25,565176.9243374418,6527717.301444539
25,565176.6923235146,6527717.004888249
25,565176.5657984193,6527716.869481534
25,565176.429865661,6527716.96357404
25,565176.6986104759,6527716.877961818
25,565176.9458178927,6527716.72739448
25,565176.7455576757,6527717.122428381
26,565186.5920779477,6527725.722017179
26,565186.8542852341,6527725.479447205
26,565186.7437281092,6527725.4220421985
26,565186.4491179156,6527725.291745399
27,565219.2199831981,6527722.078007323
27,565219.1132984769,6527721.844811567
27,565219.0248596106,6527721.518236035
27,565218.5312306471,6527721.127176512
27,565218.4729168036,6527720.90985411
27,565218.9335392205,6527720.647786728
28,565171.9381735249,6527709.733430461
28,565171.8679007876,6527709.971724053
28,565172.3984656485,6527709.815587752
28,565172.3581243139,6527709.567678339
28,565171.4072669813,6527709.05336476
28,565170.474256874,6527708.676958494
28,565170.0943626841,6527708.405855139
29,565191.5888795853,6527724.644006254
29,565191.2110468809,6527724.664929123
29,565190.7123610139,6527724.471308029
29,565190.2177867282,6527724.4214168945
29,565189.8028131169,6527724.655071697
29,565189.3161089222,6527724.773964809
29,565189.1548233093,6527724.931756094
30,565188.67807347,6527730.95916091
30,565188.5071182372,6527731.028452812
30,565188.3551605614,6527731.107964543
30,565188.4760934502,6527731.04872335
30,565188.6110467182,6527731.019271876
30,565188.2112893754,6527731.205838145
30,565187.969024968,6527731.315622803
31,565166.3815134316,6527717.133723347
31,565166.5875480858,6527716.719204119
31,565166.0839761564,6527716.587868424
31,565165.2660219958,6527716.612282463
31,565165.019543502,6527716.663260815
31,565164.8499322211,6527716.983011046
32,565196.394589491,6527731.7063682405
32,565196.1186921187,6527732.132629402
32,565195.9403793189,6527732.583944852
33,565215.321224401,6527732.387303715
33,565215.255245476,6527732.509361833
33,565215.0220014913,6527732.41885714
33,565215.1064996172,6527732.316489711
33,565215.2845732392,6527732.086048235
33,565215.6043768354,6527731.863241432
34,565200.718390149,6527709.512677289
34,565201.1540013939,6527709.08455578
34,565201.0406083028,6527708.666895705
34,565200.1051266907,6527708.693339215
34,565199.0570378577,6527709.005044048
34,565198.7132025798,6527709.130110131
34,565198.3997087235,6527709.398616248
35,565200.67359555,6527702.115404447
35,565200.020799406,6527702.624837633
35,565199.7702890566,6527703.064193707
35,565199.644322043,6527703.4597470565
35,565199.4395971723,6527703.793570695
35,565199.0299196426,6527704.172513799
35,565199.0019358313,6527704.65235055
35,565199.2185284803,6527704.9695760235
36,565316.8128358755,6527690.422722311
36,565317.3151549685,6527689.692403069
36,565317.409368272,6527689.467325192
36,565317.2623308267,6527689.412589906
37,565325.1848359442,6527695.067623235
37,565325.6572919711,6527695.386358731
37,565325.4644462683,6527695.72896466
37,565325.5573383988,6527696.151239363
38,565338.9770166555,6527706.141667375
38,565339.661657625,6527706.307443658
38,565340.2684405016,6527706.07620489
38,565340.424020014,6527705.6410043975
38,565340.8050417566,6527704.86817501
38,565341.6346017388,6527704.261858796
38,565342.4419751258,6527703.874604529
38,565342.9171190566,6527703.617526261
39,565341.6809794675,6527704.458451612
39,565340.916771992,6527704.587757838
39,565340.8590503985,6527704.149996347
39,565341.3696837699,6527703.040516558
39,565341.4658104964,6527702.065754915
39,565341.2285004877,6527701.237332548
40,565300.2593352202,6527696.156168075
40,565300.6067809451,6527695.671861659
40,565301.2754995018,6527695.624604003
40,565302.3485197808,6527695.773395555
40,565303.5047511811,6527695.752315644
41,565320.3078624215,6527679.724238824
41,565320.9806583915,6527679.83184905
41,565321.1792215846,6527680.102565839
41,565320.7092940094,6527680.417894726
41,565320.0405754526,6527680.516843463
41,565319.5940417515,6527680.514427428
41,565319.7445415813,6527680.841184163
41,565319.9490500529,6527681.25631948
41,565319.8441990288,6527681.531711298
