# timestamps [seconds],pts
150846.951915,0
150847.345594,25799
150847.525326,37578
150847.646023,45488
150847.795961,55314
150847.952943,65602
150848.091240,74665
150848.210284,82467
150848.330536,90347
150848.444748,97832
150848.570784,106092
150848.682489,113413
150848.788249,120344
150848.945559,130653
150849.062975,138348
150849.198358,147220
150849.320776,155243
150849.463015,164564
150849.604202,173817
150849.714453,181042
150849.799801,186636
150849.870951,191299
150849.946267,196234
150850.036024,202117
150850.127894,208137
150850.207263,213339
150850.303825,219667
150850.402926,226162
150850.531522,234589
150850.653246,242566
150850.763113,249766
150850.867731,256623
150850.958222,262553
150851.053024,268766
150851.155903,275508
150851.263795,282579
150851.363070,289085
150851.459760,295421
150851.562225,302136
150851.707264,311641
150851.831274,319768
150851.940792,326946
150852.056098,334502
150852.163696,341554
150852.283957,349435
150852.425792,358730
150852.538935,366145
150852.631268,372196
150852.727770,378520
150852.839134,385818
150852.937591,392271
150853.029102,398268
150853.136399,405300
150853.236058,411831
150853.333535,418219
150853.457627,426351
150853.589990,435026
150853.694493,441874
150853.787871,447994
150853.885874,454417
150853.991681,461351
150854.093078,467996
150854.197341,474828
150854.392228,487600
150854.544574,497584
150854.729191,509683
150854.912053,521667
150855.056931,531162
150855.201731,540651
150855.323356,548622
150855.446583,556698
150855.572496,564949
150855.693038,572849
150855.855033,583465
150855.983374,591876
150856.124271,601110
150856.306690,613065
150856.484660,624728
150856.607199,632759
150856.718413,640047
150856.831412,647452
150856.967683,656383
150857.116327,666124
150857.259366,675498
150857.428638,686592
150857.554948,694869
150857.668684,702323
150857.783984,709879
150857.885489,716531
150857.987734,723232
150858.096191,730340
150858.219776,738439
150858.315472,744710
150858.417484,751396
150858.547745,759932
150858.691468,769351
150858.837381,778914
150858.974670,787911
150859.086035,795209
150859.197832,802536
150859.307442,809719
150859.414829,816757
150859.519047,823586
150859.615300,829894
150859.742389,838223
150859.854390,845563
150859.971682,853250
150860.092540,861170
150860.228500,870080
150860.408611,881884
150860.541191,890573
150860.652485,897866
150860.755168,904596
150860.901488,914185
150861.020373,921976
150861.123533,928736
150861.227327,935539
150861.345268,943268
150861.499583,953381
150861.655300,963586
150861.824884,974700
150861.979018,984801
150862.121747,994154
150862.227356,1001076
150862.327739,1007654
150862.423829,1013951
150862.535587,1021275
150862.698074,1031924
150862.831946,1040697
150863.000016,1051712
150863.167477,1062686
150863.276940,1069860
150863.375220,1076301
150863.457185,1081672
150863.539643,1087076
150863.633006,1093195
150863.727983,1099419
150863.853916,1107672
150863.964782,1114938
150864.093667,1123384
150864.231580,1132422
150864.392928,1142996
150864.537070,1152443
150864.677861,1161669
150864.779228,1168312
150864.889107,1175513
150865.019692,1184071
150865.141160,1192032
150865.230779,1197905
150865.324874,1204071
150865.454187,1212546
150865.603599,1222338
150865.807584,1235706
150865.982725,1247184
150866.115696,1255898
150866.218385,1262628
150866.313920,1268888
150866.405290,1274876
